pred,actual,var
45.30288,84.0,1.732469
9.455279,17.2,1.2322626
31.545135,49.0,1.3725611
19.021076,61.0,1.2936345
57.250195,40.5,5.027199
37.08758,12.0,1.7613239
23.106396,47.3,2.867467
35.692394,44.4,1.571553
54.268513,18.4,3.9444685
15.805788,40.0,1.3032113
57.321693,13.1,4.1735115
26.661846,44.0,1.6834406
48.069828,25.0,2.8122413
49.174824,24.0,2.1213777
87.15136,37.0,2.942863
47.36582,6.0,3.35133
21.73264,18.1,2.9186637
34.667904,43.0,1.252991
63.455486,24.4,3.1234941
67.87071,18.8,7.1204233
17.080921,18.9,1.7132533
32.706966,10.4,3.0622847
84.43539,13.0,4.23523
43.29236,19.3,3.4648998
107.20882,46.0,2.8280656
62.39621,64.0,1.6208942
22.582119,8.5,1.8304508
44.524635,32.2,4.4225836
32.35119,88.0,3.316844
60.53782,97.0,2.0848255
65.59695,9.0,5.706111
63.335396,85.0,2.818106
59.867004,71.0,2.5478601
121.90672,42.7,8.846223
14.86801,59.0,2.8629467
28.854809,71.0,3.4223466
35.72591,29.2,2.1367116
30.612772,30.0,2.5431478
44.53944,48.0,1.8587348
34.251442,58.0,1.5278592
85.22722,39.0,2.3185227
30.988148,53.0,2.4080098
34.840137,61.1,3.3006449
32.266407,25.7,2.567055
20.875217,88.0,3.609111
16.997221,16.5,2.3218732
44.83459,21.9,3.1322088
51.649677,20.0,3.1874301
23.64515,8.8,2.374656
23.074747,21.3,1.5822136
24.511349,56.8,2.145092
33.91602,23.9,2.3432217
72.878525,10.1,3.8473673
23.950878,38.3,1.8225663
87.25876,21.3,3.8090007
55.569145,23.3,2.5710645
113.76982,25.8,5.3857365
98.73085,88.0,2.963476
26.328182,49.0,1.9503291
11.68765,90.0,2.6471148
64.80107,9.0,2.5821257
54.934082,24.0,5.3735948
4.7622747,8.9,1.1167382
39.57586,2.8,5.215462
68.57517,45.0,1.9254619
66.75334,49.8,0.8438277
43.272293,25.0,1.8199723
37.80955,25.0,2.0567527
10.486144,40.0,1.975315
23.718456,30.0,2.3176877
113.18136,98.0,2.5363796
28.309275,29.0,2.978102
42.91276,46.1,1.4308102
36.235573,55.0,2.0561059
21.240261,53.0,1.3821362
69.53761,18.2,1.8634675
26.342545,51.0,1.4682887
31.170343,6.0,2.824494
16.69662,131.0,1.3630407
46.159126,74.0,3.4713876
49.306755,19.2,2.92372
58.76284,20.0,3.2247965
42.68671,6.0,4.3874307
30.076633,84.0,3.1700842
41.65119,49.1,1.7326833
28.590734,43.5,1.9897265
64.98374,18.0,2.5912592
84.507576,27.2,4.5285044
32.914852,13.9,5.033556
33.786354,10.3,2.384674
5.0698004,72.0,2.0205777
63.841175,37.4,5.220227
36.11723,72.0,1.7123533
37.24134,87.0,3.5463052
68.867355,91.0,3.1821325
22.240211,6.0,1.2784721
36.692867,64.0,2.4593067
47.917694,29.0,1.8444288
11.527905,6.0,2.2820945
60.0631,14.3,5.598301
41.83951,8.6,4.1433063
36.813805,52.6,1.8153962
46.383106,60.9,1.5318513
58.60398,81.0,2.6283193
52.342,56.0,1.5650594
47.545387,78.9,2.6416728
38.310432,65.5,2.5237405
6.524138,34.5,1.738245
21.443373,39.6,1.6650118
111.10403,39.1,1.8007174
45.741337,23.1,3.843239
68.7701,86.0,2.899855
40.978004,19.3,2.2274919
16.51392,12.0,0.8604595
8.480039,8.0,1.9824337
63.259613,72.0,2.2260518
42.27516,68.0,2.7098682
36.088127,47.9,1.5440301
90.20293,6.1,5.60667
50.168324,20.6,3.821236
41.951393,40.0,1.1497341
44.402103,63.6,1.4191287
24.949108,39.0,1.5754209
23.98507,5.0,2.7725437
27.993496,43.9,1.9162873
33.628517,30.0,2.426645
41.785484,60.0,5.028136
14.226535,6.2,1.5961055
13.573909,29.3,1.0305998
119.36726,81.0,3.4448826
53.75414,25.6,1.8742799
20.755243,8.5,1.7033296
46.412907,15.0,3.02772
65.4094,21.0,2.9462848
98.572205,50.0,3.6918554
60.30002,6.3,3.2128031
24.391973,160.0,2.3109155
123.53397,11.0,9.275353
64.77567,80.8,3.135948
25.75148,49.0,2.3391488
66.13567,90.0,2.7080603
89.66303,22.0,4.014953
44.97561,17.0,1.5922217
104.59021,54.1,6.5850806
36.157608,85.1,1.8962972
101.64947,27.0,10.708939
29.446533,10.0,3.5627596
26.012854,0.0,2.7315369
36.085995,50.0,2.5378516
14.390833,23.0,2.3346758
23.747458,61.0,2.532634
34.68627,32.2,2.1363952
4.253424,29.0,1.2990534
25.02465,116.0,2.8561094
58.45034,17.9,5.0624223
0.32100797,72.9,1.1542281
17.138783,91.0,1.9684466
58.52057,-7.0,6.7056255
12.466766,15.0,2.0838914
48.125805,43.9,5.3024654
27.83749,28.0,1.3878974
78.23309,48.6,2.738858
36.653725,45.0,2.2385488
57.863945,75.9,2.102154
5.3983645,60.0,1.6210556
70.63902,23.5,2.8118303
74.08785,38.0,3.5906062
69.2086,81.0,3.3482416
61.85014,53.0,2.576237
34.280735,27.0,2.3725338
