SMILES,Vol%
CC(=O)C,0.719519083
CC(=O)CO,2.064795151
COCC(=O)O,0.800232972
C1CC(=O)C=C1,0
CC1=CCCC1=O,0
CCCCC1=CC=C(O1)CCCC,4.314606435
C1=COC(=C1)C=O,0
CC(=O)C1=CC=CO1,4.254842869
CCC(=C(C)C)C(=O)C,2.636442582
CCCCC(=O)O,3.41704399
C1CC(=O)OC1=O,7.055465629
C1CC(OC1)C2CCOC2,0
C1CC(=O)OC1,5.394424906
CCCCCC1OCCO1,0.28783917
C1C=CC(=O)O1,0.475841258
CC1=C(C(=O)CC1)O,0.58038377
C1=CC=C(C=C1)C(=O)COC(=O)C2=CC=CC=C2O,4.524558954
COC1=CC=CC=C1O,1.511440699
CC1=CC(=C(C=C1)O)OC,6.878163147
C1=CC=C(C=C1)O,0
CCC1=CC(=C(C=C1)O)OC,3.462281
CC1=CC=C(C=C1)O,0.748679963
CCCC1=CC(=C(C=C1)O)OC,9.121151521
COC1=C(C=CC(=C1)CC=C)O,0
CCCCCCCCCCCCCCCC1OCC(O1)CC,4.656790245
COC1=C(C=C(C=C1)C=C)O,4.716093165
CCCC1=CC=C(C=C1)O,0
CC(=O)CCC(=O)O,5.109159855
CC=CC1=CC(=C(C=C1)O)OC,0
CC(=C)C(=O)OC(=O)C(=C)C,0
C1=C(OC(=C1)C=O)CO,7.868099887
COC1=C(C=CC(=C1)C=C)O,0
CC(=O)C1=CC(=C(C=C1)O)OC,2.006209865
CC(=O)CC1=CC(=C(C=C1)O)OC,1.06677852
C1=CC=C(C(=C1)O)O,0.8663316
CC1CCC2(CCCC(C2)C)CC1,1.917924014
CC1=CC(=C(C=C1)O)O,3.067905402
COC1=C(C=CC(=C1)CC(=O)O)O,0
C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,0
CC1CCC(O1)CO,2.193663472
CC1CCCC1=O,2.281369637
C1CCOC(C1)CO,1.709001615
CCC1CCO1,1.412988313
CC(C)CCOC(=O)C(C)O,2.879971313
