SMILES,Vol%
CC1CCCC1,0.332041331
CC(=O)C,1.088638153
CC1C(=O)OC(C(=O)O1)C,3.71871456
CC1CCCC1=O,1.95158938
CC(=O)CO,1.16632448
COCC(=O)O,0.8731966
C1CCOC(C1)CO,1.243936887
CCCCC1=CC=C(O1)CCCC,4.581247288
C1=COC(=C1)C=O,0
C1CC(OC1)CO,2.332011301
CC1=CC=C(O1)C=O,0.061166481
CCC(=CC(=O)OC)CC,1.647635225
CCC(=C(C)C)C(=O)C,1.200812201
C1CC(OC1)C2CCOC2,5.843595805
C1CC(OC1)C2CCOC2,2.270823122
C1CC(OC1)C2CCOC2,6.762028028
C1C=CC(=O)O1,0.321801662
CC1=C(C(=O)CC1)O,0.774928382
C1=CC=C(C=C1)C(=O)COC(=O)C2=CC=CC=C2O,5.402374641
COC1=CC=CC=C1O,1.510823505
CC1=CC(=C(C=C1)O)OC,7.415892257
CCC1=CC(=C(C=C1)O)OC,3.693741889
CC1=CC=C(C=C1)O,1.000181024
CCC=CCCCCC=O,1.529449466
CCCC1=CC(=C(C=C1)O)OC,8.784634678
COC1=C(C=CC(=C1)CC=C)O,2.023121291
CCCC(C)C(=O)OCC,3.020094147
COC1=C(C=C(C=C1)C=C)O,1.744790117
O=C(OCC=CC)CCC(=O)OCC=CC,6.376646607
CC=CC1=CC(=C(C=C1)O)OC,0
CC(=C)C(=O)OC(=O)C(=C)C,0
CC(C)OCCCCO,7.970321504
CC(=O)CC1=CC(=C(C=C1)O)OC,0.767845385
CC(=O)OC=C,1.551100638
CC(=O)CC1=CC(=C(C=C1)O)OC,1.405950573
CC1=CC(=C(C=C1)O)O,2.617138215
CCCCCCCCCCCCCCCC(=O)O,6.434056663
COC1=C(C=CC(=C1)CC(=O)O)O,0
CCCC(OCC(C)C)OCC(C)C,0.581346514
C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,0
